City_Rank,City_Native_Name,City_English_Name,Country,Population,Growth_Rate_pct,Area_km2,Status,Remark,Data_Source,Reference_Date
574,Bukavu,Bukavu,Congo (Dem. Rep.),1140000,3.5,,City,(population of low reliability),citypopulation.de,2026-01-01
574,Cancún,Cancún,Mexico,1140000,3.4,283.48,CUA,,citypopulation.de,2026-01-01
574,Jos,Jos,Nigeria,1140000,2.5,,,(population of low reliability),citypopulation.de,2026-01-01
574,Kayseri,Kayseri,Turkey,1140000,1,,Aggl,,citypopulation.de,2026-01-01
574,Memphis,Memphis,United States of America,1140000,-.1,1579.05,CUA,,citypopulation.de,2026-01-01
579,Bobo-Dioulasso,Bobo-Dioulasso,Burkina Faso,1130000,3.3,,Aggl,,citypopulation.de,2026-01-01
579,Nürnberg,Nuremberg,Germany,1130000,.5,331.67,CUA,incl. Erlangen,citypopulation.de,2026-01-01
579,Omsk,Omsk,Russia,1130000,-.65,,Aggl,,citypopulation.de,2026-01-01
579,Voronež,Voronezh,Russia,1130000,-.4,,Aggl,,citypopulation.de,2026-01-01
579,Warangal,Warangal,India,1130000,2.65,242.42,Aggl,,citypopulation.de,2026-01-01
579,Yŏngkāng,Yŏngkāng,China,1130000,4,,Adm-Urb,,citypopulation.de,2026-01-01
585,Āsmera,Āsmera,Eritrea,1120000,3,,City,(population of low reliability),citypopulation.de,2026-01-01
585,Diyarbakır,Diyarbakır,Turkey,1120000,1.5,,Aggl,,citypopulation.de,2026-01-01
585,Jiŭjiāng,Jiŭjiāng,China,1120000,3,,Adm-Urb,,citypopulation.de,2026-01-01
585,Málaga,Málaga,Spain,1120000,1,,CUA,,citypopulation.de,2026-01-01
585,Pekanbaru,Pekanbaru,Indonesia,1120000,1,560.15,Aggl,,citypopulation.de,2026-01-01
585,Sargodha,Sargodha,Pakistan,1120000,4,,UA,,citypopulation.de,2026-01-01
585,Shizuoka,Shizuoka,Japan,1120000,-.35,2124.83,Aggl,,citypopulation.de,2026-01-01
585,Tucumán,Tucumán,Argentina,1120000,1.45,,CUA,,citypopulation.de,2026-01-01
585,Zhōukŏu,Zhōukŏu,China,1120000,4.2,,Adm-Urb,,citypopulation.de,2026-01-01
594,Bĕihăi,Beihai,China,1110000,3,,Adm-Urb,,citypopulation.de,2026-01-01
595,Dehra Dūn,Dehra Dūn,India,1100000,2.9,125.22,Aggl,,citypopulation.de,2026-01-01
595,Lángfāng,Lángfāng,China,1100000,4.3,,Adm-Urb,,citypopulation.de,2026-01-01
595,Shàoyáng,Shaoyang,China,1100000,2.4,,Adm-Urb,,citypopulation.de,2026-01-01
595,Shíyàn,Shiyan,China,1100000,2.8,,Adm-Urb,,citypopulation.de,2026-01-01
595,Yerushalayim,Jerusalem,Israel,1100000,1.75,142.31,Aggl,,citypopulation.de,2026-01-01
600,Chihuahua,Chihuahua,Mexico,1090000,1.55,493.08,CUA,,citypopulation.de,2026-01-01
600,Chúzhōu,Chúzhōu,China,1090000,4,,Adm-Urb,,citypopulation.de,2026-01-01
600,Hannover,Hanover,Germany,1090000,.4,365.93,CUA,incl. Hildesheim,citypopulation.de,2026-01-01
600,Irbid,Irbid,Jordan,1090000,2.4,,,,citypopulation.de,2026-01-01
600,Odesa,Odessa,Ukraine,1090000,-.4,,Aggl,(without considering the impacts of the Russian invasion),citypopulation.de,2026-01-01
600,São José dos Campos,São José dos Campos,Brazil,1090000,1.2,385.39,CUA,,citypopulation.de,2026-01-01
600,Siālkot,Siālkot,Pakistan,1090000,4,,CUA,,citypopulation.de,2026-01-01
607,Bielefeld,Bielefeld,Germany,1080000,.15,869.81,CUA,"incl. Güterloh, Herford",citypopulation.de,2026-01-01
607,Dōngyíng,Dongying,China,1080000,2.2,,Adm-Urb,,citypopulation.de,2026-01-01
607,Héngshuĭ,Héngshuĭ,China,1080000,4,,Adm-Urb,,citypopulation.de,2026-01-01
607,Húlúdăo,Huludao,China,1080000,1.8,,Adm-Urb,,citypopulation.de,2026-01-01
607,Zanzibar,Zanzibar,Tanzania,1080000,4.3,227.59,Aggl,,citypopulation.de,2026-01-01
607,Zaria,Zaria,Nigeria,1080000,2.5,,,(population of low reliability),citypopulation.de,2026-01-01
613,Al-Hufūf,Hofuf,Saudi Arabia,1070000,.9,,Aggl,,citypopulation.de,2026-01-01
