Country,City_English_Name,City_Population,Country_Population_WB_2024,City_Share_of_Country_pct,Relationship_Type,Data_Source
Brazil,Londrina,1050000,211998573,0.5,CUA,citypopulation.de | World Bank
China,Panjin,1050000,1408975000,0.07,Adm-Urb,citypopulation.de | World Bank
Brazil,Teresina,1050000,211998573,0.5,CUA,citypopulation.de | World Bank
United States of America,El Paso,1040000,340110988,0.31,CUA,citypopulation.de | World Bank
Nigeria,Enugu,1040000,232679478,0.45,,citypopulation.de | World Bank
China,Liupanshui,1040000,1408975000,0.07,Adm-Urb,citypopulation.de | World Bank
United States of America,Louisville,1040000,340110988,0.31,CUA,citypopulation.de | World Bank
India,Puducherry,1040000,1450935791,0.07,Congl,citypopulation.de | World Bank
United States of America,Tucson,1040000,340110988,0.31,CUA,citypopulation.de | World Bank
China,Línfén,1030000,1408975000,0.07,Adm-Urb,citypopulation.de | World Bank
China,Qiqihar,1030000,1408975000,0.07,Adm-Urb,citypopulation.de | World Bank
China,Suzhou,1030000,1408975000,0.07,Adm-Urb,citypopulation.de | World Bank
China,Tengzhou,1030000,1408975000,0.07,Adm-Urb,citypopulation.de | World Bank
Mexico,Culiacán,1020000,130861007,0.78,CUA,citypopulation.de | World Bank
Great Britain,Bristol,1010000,69226000,1.46,CUA,citypopulation.de | World Bank
France,Nice,1010000,68551653,1.47,Congl,citypopulation.de | World Bank
Germany,Aix-la-Chapelle,1000000,83516593,1.2,CUA,citypopulation.de | World Bank
Pakistan,Bahāwalpur,1000000,251269164,0.4,UA,citypopulation.de | World Bank
Korea (South),Changwon,1000000,51751065,1.93,CUA,citypopulation.de | World Bank
Brazil,Cuiabá,1000000,211998573,0.47,CUA,citypopulation.de | World Bank
United States of America,Fresno,1000000,340110988,0.29,CUA,citypopulation.de | World Bank
China,Yixing,1000000,1408975000,0.07,Adm-Urb,citypopulation.de | World Bank
China,Zigong,1000000,1408975000,0.07,Adm-Urb,citypopulation.de | World Bank
